gen_model,dataset,lang,axis,n,pass_rate
gemini_3_pro,non_expert,hi,Communication,2043,0.626
gemini_3_pro,non_expert,hi,Completeness,2043,0.3451
gemini_3_pro,non_expert,hi,Context Awareness,2043,0.2403
gemini_3_pro,non_expert,hi,Terminology Accessibility,2043,0.1938
gemini_3_pro,non_expert,mr,Accuracy,2079,0.367
gemini_3_pro,non_expert,mr,Communication,2079,0.6229
gemini_3_pro,non_expert,mr,Completeness,2079,0.3468
gemini_3_pro,non_expert,mr,Context Awareness,2079,0.2381
gemini_3_pro,non_expert,mr,Terminology Accessibility,2079,0.2035
gemma_3_27b,expert,en,Accuracy,1134,0.2284
gemma_3_27b,expert,en,Communication,1134,0.4929
gemma_3_27b,expert,en,Completeness,1134,0.1261
gemma_3_27b,expert,en,Context Awareness,1134,0.1808
gemma_3_27b,expert,en,Terminology Accessibility,1134,0.1173
gemma_3_27b,expert,hi,Accuracy,1134,0.2619
gemma_3_27b,expert,hi,Communication,1134,0.4885
gemma_3_27b,expert,hi,Completeness,1134,0.1349
gemma_3_27b,expert,hi,Context Awareness,1134,0.1746
gemma_3_27b,expert,hi,Terminology Accessibility,1134,0.1596
gemma_3_27b,expert,mr,Accuracy,1134,0.2407
gemma_3_27b,expert,mr,Communication,1134,0.5176
gemma_3_27b,expert,mr,Completeness,1134,0.1455
gemma_3_27b,expert,mr,Context Awareness,1134,0.1781
gemma_3_27b,expert,mr,Terminology Accessibility,1134,0.1561
gemma_3_27b,non_expert,en,Accuracy,2079,0.3843
gemma_3_27b,non_expert,en,Communication,2079,0.6883
gemma_3_27b,non_expert,en,Completeness,2079,0.3574
gemma_3_27b,non_expert,en,Context Awareness,2079,0.2511
gemma_3_27b,non_expert,en,Terminology Accessibility,2079,0.1703
gemma_3_27b,non_expert,hi,Accuracy,2079,0.3747
gemma_3_27b,non_expert,hi,Communication,2079,0.6556
gemma_3_27b,non_expert,hi,Completeness,2079,0.3314
gemma_3_27b,non_expert,hi,Context Awareness,2079,0.2429
gemma_3_27b,non_expert,hi,Terminology Accessibility,2079,0.2083
gemma_3_27b,non_expert,mr,Accuracy,2079,0.3838
gemma_3_27b,non_expert,mr,Communication,2079,0.6566
gemma_3_27b,non_expert,mr,Completeness,2079,0.3588
gemma_3_27b,non_expert,mr,Context Awareness,2079,0.228
gemma_3_27b,non_expert,mr,Terminology Accessibility,2079,0.215
gpt_4o_mini,expert,en,Accuracy,1134,0.2011
gpt_4o_mini,expert,en,Communication,1134,0.4735
gpt_4o_mini,expert,en,Completeness,1134,0.1164
gpt_4o_mini,expert,en,Context Awareness,1134,0.1728
gpt_4o_mini,expert,en,Terminology Accessibility,1134,0.0882
gpt_4o_mini,expert,hi,Accuracy,1134,0.224
gpt_4o_mini,expert,hi,Communication,1134,0.4824
gpt_4o_mini,expert,hi,Completeness,1134,0.1243
gpt_4o_mini,expert,hi,Context Awareness,1134,0.179
gpt_4o_mini,expert,hi,Terminology Accessibility,1134,0.1235
gpt_4o_mini,expert,mr,Accuracy,1134,0.2055
gpt_4o_mini,expert,mr,Communication,1134,0.4903
gpt_4o_mini,expert,mr,Completeness,1134,0.1367
gpt_4o_mini,expert,mr,Context Awareness,1134,0.1578
gpt_4o_mini,expert,mr,Terminology Accessibility,1134,0.1199
gpt_4o_mini,non_expert,en,Accuracy,2079,0.3569
gpt_4o_mini,non_expert,en,Communication,2079,0.6441
gpt_4o_mini,non_expert,en,Completeness,2079,0.3492
gpt_4o_mini,non_expert,en,Context Awareness,2079,0.2482
gpt_4o_mini,non_expert,en,Terminology Accessibility,2079,0.1477
gpt_4o_mini,non_expert,hi,Accuracy,2079,0.3444
gpt_4o_mini,non_expert,hi,Communication,2079,0.6397
gpt_4o_mini,non_expert,hi,Completeness,2079,0.3242
gpt_4o_mini,non_expert,hi,Context Awareness,2079,0.2323
gpt_4o_mini,non_expert,hi,Terminology Accessibility,2079,0.1789
gpt_4o_mini,non_expert,mr,Accuracy,2079,0.3391
gpt_4o_mini,non_expert,mr,Communication,2079,0.632
gpt_4o_mini,non_expert,mr,Completeness,2079,0.3309
gpt_4o_mini,non_expert,mr,Context Awareness,2079,0.2136
gpt_4o_mini,non_expert,mr,Terminology Accessibility,2079,0.1794
gpt_5_mini,expert,en,Accuracy,1134,0.2875
gpt_5_mini,expert,en,Communication,1134,0.5106
gpt_5_mini,expert,en,Completeness,1134,0.1481
gpt_5_mini,expert,en,Context Awareness,1134,0.1852
gpt_5_mini,expert,en,Terminology Accessibility,1134,0.1481
gpt_5_mini,expert,hi,Accuracy,1134,0.328
gpt_5_mini,expert,hi,Communication,1134,0.5379
gpt_5_mini,expert,hi,Completeness,1134,0.1473
gpt_5_mini,expert,hi,Context Awareness,1134,0.1887
gpt_5_mini,expert,hi,Terminology Accessibility,1134,0.2028
gpt_5_mini,expert,mr,Accuracy,1134,0.3113
gpt_5_mini,expert,mr,Communication,1134,0.5467
gpt_5_mini,expert,mr,Completeness,1134,0.1437
gpt_5_mini,expert,mr,Context Awareness,1134,0.179
gpt_5_mini,expert,mr,Terminology Accessibility,1134,0.1781
gpt_5_mini,non_expert,en,Accuracy,2079,0.4156
gpt_5_mini,non_expert,en,Communication,2079,0.6999
gpt_5_mini,non_expert,en,Completeness,2079,0.3959
gpt_5_mini,non_expert,en,Context Awareness,2079,0.2597
gpt_5_mini,non_expert,en,Terminology Accessibility,2079,0.2063
gpt_5_mini,non_expert,hi,Accuracy,2079,0.4098
gpt_5_mini,non_expert,hi,Communication,2079,0.6873
gpt_5_mini,non_expert,hi,Completeness,2079,0.3757
gpt_5_mini,non_expert,hi,Context Awareness,2079,0.2617
gpt_5_mini,non_expert,hi,Terminology Accessibility,2079,0.2501
gpt_5_mini,non_expert,mr,Accuracy,2079,0.4242
gpt_5_mini,non_expert,mr,Communication,2079,0.6647
gpt_5_mini,non_expert,mr,Completeness,2079,0.3814
gpt_5_mini,non_expert,mr,Context Awareness,2079,0.2516
gpt_5_mini,non_expert,mr,Terminology Accessibility,2079,0.2386
llama_3_3_70b,expert,en,Accuracy,1110,0.191
llama_3_3_70b,expert,en,Communication,1110,0.4784
llama_3_3_70b,expert,en,Completeness,1110,0.1099
llama_3_3_70b,expert,en,Context Awareness,1110,0.1568
llama_3_3_70b,expert,en,Terminology Accessibility,1110,0.0784
llama_3_3_70b,expert,hi,Accuracy,1035,0.2367
llama_3_3_70b,expert,hi,Communication,1035,0.487
llama_3_3_70b,expert,hi,Completeness,1035,0.1217
llama_3_3_70b,expert,hi,Context Awareness,1035,0.1749
llama_3_3_70b,expert,hi,Terminology Accessibility,1035,0.1179
llama_3_3_70b,expert,mr,Accuracy,696,0.2399
llama_3_3_70b,expert,mr,Communication,696,0.477
llama_3_3_70b,expert,mr,Completeness,696,0.1106
llama_3_3_70b,expert,mr,Context Awareness,696,0.1595
llama_3_3_70b,expert,mr,Terminology Accessibility,696,0.1379
llama_3_3_70b,non_expert,en,Accuracy,2079,0.3439
llama_3_3_70b,non_expert,en,Communication,2079,0.6498
llama_3_3_70b,non_expert,en,Completeness,2079,0.3357
llama_3_3_70b,non_expert,en,Context Awareness,2079,0.2328
llama_3_3_70b,non_expert,en,Terminology Accessibility,2079,0.1304
llama_3_3_70b,non_expert,hi,Accuracy,2079,0.3444
llama_3_3_70b,non_expert,hi,Communication,2079,0.6407
llama_3_3_70b,non_expert,hi,Completeness,2079,0.3064
llama_3_3_70b,non_expert,hi,Context Awareness,2079,0.2285
llama_3_3_70b,non_expert,hi,Terminology Accessibility,2079,0.1664
llama_3_3_70b,non_expert,mr,Accuracy,2079,0.33
llama_3_3_70b,non_expert,mr,Communication,2079,0.6157
llama_3_3_70b,non_expert,mr,Completeness,2079,0.3117
llama_3_3_70b,non_expert,mr,Context Awareness,2079,0.2112
llama_3_3_70b,non_expert,mr,Terminology Accessibility,2079,0.1544
llama_4_maverick,expert,en,Accuracy,693,0.2222
llama_4_maverick,expert,en,Communication,693,0.4733
llama_4_maverick,expert,en,Completeness,693,0.1169
llama_4_maverick,expert,en,Context Awareness,693,0.1688
llama_4_maverick,expert,en,Terminology Accessibility,693,0.0909
llama_4_maverick,expert,hi,Accuracy,738,0.2412
llama_4_maverick,expert,hi,Communication,738,0.4878
llama_4_maverick,expert,hi,Completeness,738,0.1192
llama_4_maverick,expert,hi,Context Awareness,738,0.1802
llama_4_maverick,expert,hi,Terminology Accessibility,738,0.1341
llama_4_maverick,expert,mr,Accuracy,810,0.2568
llama_4_maverick,expert,mr,Communication,810,0.5
llama_4_maverick,expert,mr,Completeness,810,0.1222
llama_4_maverick,expert,mr,Context Awareness,810,0.158
llama_4_maverick,expert,mr,Terminology Accessibility,810,0.1395
llama_4_maverick,non_expert,en,Accuracy,2079,0.3458
llama_4_maverick,non_expert,en,Communication,2079,0.6445
llama_4_maverick,non_expert,en,Completeness,2079,0.3367
llama_4_maverick,non_expert,en,Context Awareness,2079,0.2261
llama_4_maverick,non_expert,en,Terminology Accessibility,2079,0.1313
llama_4_maverick,non_expert,hi,Accuracy,2079,0.3632
llama_4_maverick,non_expert,hi,Communication,2079,0.6378
llama_4_maverick,non_expert,hi,Completeness,2079,0.33
llama_4_maverick,non_expert,hi,Context Awareness,2079,0.2371
llama_4_maverick,non_expert,hi,Terminology Accessibility,2079,0.1837
llama_4_maverick,non_expert,mr,Accuracy,2079,0.3492
llama_4_maverick,non_expert,mr,Communication,2079,0.6205
llama_4_maverick,non_expert,mr,Completeness,2079,0.3314
llama_4_maverick,non_expert,mr,Context Awareness,2079,0.2227
llama_4_maverick,non_expert,mr,Terminology Accessibility,2079,0.176
medgemma_27b,expert,en,Accuracy,1341,0.2662
medgemma_27b,expert,en,Communication,1341,0.5444
medgemma_27b,expert,en,Completeness,1341,0.1834
medgemma_27b,expert,en,Context Awareness,1341,0.1999
medgemma_27b,expert,en,Terminology Accessibility,1341,0.1342
medgemma_27b,expert,hi,Accuracy,1341,0.2886
medgemma_27b,expert,hi,Communication,1341,0.5563
medgemma_27b,expert,hi,Completeness,1341,0.2066
medgemma_27b,expert,hi,Context Awareness,1341,0.1991
medgemma_27b,expert,hi,Terminology Accessibility,1341,0.173
medgemma_27b,expert,mr,Accuracy,1341,0.2826
medgemma_27b,expert,mr,Communication,1341,0.5675
medgemma_27b,expert,mr,Completeness,1341,0.2133
medgemma_27b,expert,mr,Context Awareness,1341,0.1954
medgemma_27b,expert,mr,Terminology Accessibility,1341,0.1738
medgemma_27b,non_expert,en,Accuracy,2079,0.3886
medgemma_27b,non_expert,en,Communication,2079,0.6753
medgemma_27b,non_expert,en,Completeness,2079,0.3603
medgemma_27b,non_expert,en,Context Awareness,2079,0.2525
medgemma_27b,non_expert,en,Terminology Accessibility,2079,0.1587
medgemma_27b,non_expert,hi,Accuracy,2079,0.3761
medgemma_27b,non_expert,hi,Communication,2079,0.6513
medgemma_27b,non_expert,hi,Completeness,2079,0.3458
medgemma_27b,non_expert,hi,Context Awareness,2079,0.2266
medgemma_27b,non_expert,hi,Terminology Accessibility,2079,0.1967
medgemma_27b,non_expert,mr,Accuracy,2079,0.3684
medgemma_27b,non_expert,mr,Communication,2079,0.6359
medgemma_27b,non_expert,mr,Completeness,2079,0.3458
medgemma_27b,non_expert,mr,Context Awareness,2079,0.2217
medgemma_27b,non_expert,mr,Terminology Accessibility,2079,0.1929
medgemma_4b,non_expert,en,Accuracy,2079,0.3146
medgemma_4b,non_expert,en,Communication,2079,0.583
medgemma_4b,non_expert,en,Completeness,2079,0.2953
medgemma_4b,non_expert,en,Context Awareness,2079,0.2299
medgemma_4b,non_expert,en,Terminology Accessibility,2079,0.1227
medgemma_4b,non_expert,hi,Accuracy,2079,0.3223
medgemma_4b,non_expert,hi,Communication,2079,0.6051
medgemma_4b,non_expert,hi,Completeness,2079,0.2949
medgemma_4b,non_expert,hi,Context Awareness,2079,0.1895
medgemma_4b,non_expert,hi,Terminology Accessibility,2079,0.1693
medgemma_4b,non_expert,mr,Accuracy,2079,0.3309
medgemma_4b,non_expert,mr,Communication,2079,0.5738
medgemma_4b,non_expert,mr,Completeness,2079,0.3088
medgemma_4b,non_expert,mr,Context Awareness,2079,0.2006
medgemma_4b,non_expert,mr,Terminology Accessibility,2079,0.1616
