doctor_id,doctor_role,doctor_experience,doctor_ai_exposure,question_id,question_text,ai_response,rubric_text,axis,verdict,theme,domain,references
R2,General Practitioner,1-5,occasional,1ce71bed-78ed-4d08-86d3-021df8831dd1,I walk a long way to reach the health center. How can I make sure my baby is safe during delivery?,"Walking long distances can be tough, but don't worry. To ensure your baby's safety, start by visiting a health center early in your pregnancy. They can guide you on when to come for check-ups and when to plan for your delivery. They might also suggest ways to make your journey easier, like using a vehicle or getting support from family. Remember, it's important to reach the center on time, so plan ahead.","Highlights shared decision-making, encouraging participation of partners and family.",Context Awareness,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 75.0
R2,General Practitioner,1-5,occasional,1ce71bed-78ed-4d08-86d3-021df8831dd1,I walk a long way to reach the health center. How can I make sure my baby is safe during delivery?,"Walking long distances can be tough, but don't worry. To ensure your baby's safety, start by visiting a health center early in your pregnancy. They can guide you on when to come for check-ups and when to plan for your delivery. They might also suggest ways to make your journey easier, like using a vehicle or getting support from family. Remember, it's important to reach the center on time, so plan ahead.",Response correctly identifies key assessments to be performed during pregnancy,Accuracy,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 75.0
R2,General Practitioner,1-5,occasional,1ce71bed-78ed-4d08-86d3-021df8831dd1,I walk a long way to reach the health center. How can I make sure my baby is safe during delivery?,"Walking long distances can be tough, but don't worry. To ensure your baby's safety, start by visiting a health center early in your pregnancy. They can guide you on when to come for check-ups and when to plan for your delivery. They might also suggest ways to make your journey easier, like using a vehicle or getting support from family. Remember, it's important to reach the center on time, so plan ahead.",Identify community resources available for maternal health support.,Completeness,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 75.0
R2,General Practitioner,1-5,occasional,1ce71bed-78ed-4d08-86d3-021df8831dd1,I walk a long way to reach the health center. How can I make sure my baby is safe during delivery?,"Walking long distances can be tough, but don't worry. To ensure your baby's safety, start by visiting a health center early in your pregnancy. They can guide you on when to come for check-ups and when to plan for your delivery. They might also suggest ways to make your journey easier, like using a vehicle or getting support from family. Remember, it's important to reach the center on time, so plan ahead.",Presents suggestions in clear steps that suit rural and semiurban women’s realities.,Communication,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 75.0
R2,General Practitioner,1-5,occasional,1ce71bed-78ed-4d08-86d3-021df8831dd1,I walk a long way to reach the health center. How can I make sure my baby is safe during delivery?,"Walking long distances can be tough, but don't worry. To ensure your baby's safety, start by visiting a health center early in your pregnancy. They can guide you on when to come for check-ups and when to plan for your delivery. They might also suggest ways to make your journey easier, like using a vehicle or getting support from family. Remember, it's important to reach the center on time, so plan ahead.","Define medical abbreviations (ANC, BP, FHR) in plain language.",Terminology Accessibility,fail,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 75.0
R2,General Practitioner,1-5,occasional,1ce71bed-78ed-4d08-86d3-021df8831dd1,I walk a long way to reach the health center. How can I make sure my baby is safe during delivery?,"Walking long distances can be tough, but don't worry. To ensure your baby's safety, start by visiting a health center early in your pregnancy. They can guide you on when to come for check-ups and when to plan for your delivery. They might also suggest ways to make your journey easier, like using a vehicle or getting support from family. Remember, it's important to reach the center on time, so plan ahead.","Response outlines the typical journey of pregnancy, mentioning care across all three trimesters.",Completeness,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 75.0
R2,General Practitioner,1-5,occasional,1ce71bed-78ed-4d08-86d3-021df8831dd1,I walk a long way to reach the health center. How can I make sure my baby is safe during delivery?,"Walking long distances can be tough, but don't worry. To ensure your baby's safety, start by visiting a health center early in your pregnancy. They can guide you on when to come for check-ups and when to plan for your delivery. They might also suggest ways to make your journey easier, like using a vehicle or getting support from family. Remember, it's important to reach the center on time, so plan ahead.",Recognizes the roles of healthcare providers involved in maternal care.,Accuracy,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 75.0
R2,General Practitioner,1-5,occasional,1ce71bed-78ed-4d08-86d3-021df8831dd1,I walk a long way to reach the health center. How can I make sure my baby is safe during delivery?,"Walking long distances can be tough, but don't worry. To ensure your baby's safety, start by visiting a health center early in your pregnancy. They can guide you on when to come for check-ups and when to plan for your delivery. They might also suggest ways to make your journey easier, like using a vehicle or getting support from family. Remember, it's important to reach the center on time, so plan ahead.",Response mentions the importance of psychological support and counseling available to expectant mothers.,Completeness,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 75.0
R2,General Practitioner,1-5,occasional,1ce71bed-78ed-4d08-86d3-021df8831dd1,I walk a long way to reach the health center. How can I make sure my baby is safe during delivery?,"Walking long distances can be tough, but don't worry. To ensure your baby's safety, start by visiting a health center early in your pregnancy. They can guide you on when to come for check-ups and when to plan for your delivery. They might also suggest ways to make your journey easier, like using a vehicle or getting support from family. Remember, it's important to reach the center on time, so plan ahead.",Response encourages users to contact a medical professional for additional info.,Communication,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 75.0
R2,General Practitioner,1-5,occasional,1ce71bed-78ed-4d08-86d3-021df8831dd1,I walk a long way to reach the health center. How can I make sure my baby is safe during delivery?,"Walking long distances can be tough, but don't worry. To ensure your baby's safety, start by visiting a health center early in your pregnancy. They can guide you on when to come for check-ups and when to plan for your delivery. They might also suggest ways to make your journey easier, like using a vehicle or getting support from family. Remember, it's important to reach the center on time, so plan ahead.",Avoid jargon or explain all complex terms at first use.,Terminology Accessibility,fail,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 75.0
R2,General Practitioner,1-5,occasional,1ce71bed-78ed-4d08-86d3-021df8831dd1,I walk a long way to reach the health center. How can I make sure my baby is safe during delivery?,"Walking long distances can be tough, but don't worry. To ensure your baby's safety, start by visiting a health center early in your pregnancy. They can guide you on when to come for check-ups and when to plan for your delivery. They might also suggest ways to make your journey easier, like using a vehicle or getting support from family. Remember, it's important to reach the center on time, so plan ahead.",Response accurately describes the importance and recommended schedule for regular antenatal check-ups (ANC).,Accuracy,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 75.0
R2,General Practitioner,1-5,occasional,1ce71bed-78ed-4d08-86d3-021df8831dd1,I walk a long way to reach the health center. How can I make sure my baby is safe during delivery?,"Walking long distances can be tough, but don't worry. To ensure your baby's safety, start by visiting a health center early in your pregnancy. They can guide you on when to come for check-ups and when to plan for your delivery. They might also suggest ways to make your journey easier, like using a vehicle or getting support from family. Remember, it's important to reach the center on time, so plan ahead.","Uses everyday analogies, metaphors, or local references for clarity.",Communication,fail,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 75.0
R2,General Practitioner,1-5,occasional,1ce71bed-78ed-4d08-86d3-021df8831dd1,I walk a long way to reach the health center. How can I make sure my baby is safe during delivery?,"Walking long distances can be tough, but don't worry. To ensure your baby's safety, start by visiting a health center early in your pregnancy. They can guide you on when to come for check-ups and when to plan for your delivery. They might also suggest ways to make your journey easier, like using a vehicle or getting support from family. Remember, it's important to reach the center on time, so plan ahead.",Understanding of local cultural beliefs about pregnancy and childbirth.,Context Awareness,fail,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 75.0
R2,General Practitioner,1-5,occasional,1ce71bed-78ed-4d08-86d3-021df8831dd1,I walk a long way to reach the health center. How can I make sure my baby is safe during delivery?,"Walking long distances can be tough, but don't worry. To ensure your baby's safety, start by visiting a health center early in your pregnancy. They can guide you on when to come for check-ups and when to plan for your delivery. They might also suggest ways to make your journey easier, like using a vehicle or getting support from family. Remember, it's important to reach the center on time, so plan ahead.","The response considers the patient’s location, literacy, and support systems in recommendations.",Context Awareness,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 75.0
R2,General Practitioner,1-5,occasional,1ce71bed-78ed-4d08-86d3-021df8831dd1,I walk a long way to reach the health center. How can I make sure my baby is safe during delivery?,"Walking long distances can be tough, but don't worry. To ensure your baby's safety, start by visiting a health center early in your pregnancy. They can guide you on when to come for check-ups and when to plan for your delivery. They might also suggest ways to make your journey easier, like using a vehicle or getting support from family. Remember, it's important to reach the center on time, so plan ahead.","Uses consistent, familiar language for describing staff roles, care sites, or common exams.",Terminology Accessibility,fail,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 75.0
R2,General Practitioner,1-5,occasional,3bc80ff6-5450-4acf-87d2-6a2fd1918077,Why is preconception care important for women planning to get pregnant?,"Preconception care is very important because it helps women identify any health issues before they become pregnant. This care includes checking for risks, getting vaccinations, and making lifestyle changes like eating healthy and quitting smoking. By taking these steps, women can improve their chances of having a healthy pregnancy and baby. It's a good idea to start this care at least a few months before trying to conceive.","Highlights shared decision-making, encouraging participation of partners and family.",Context Awareness,fail,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 19
R2,General Practitioner,1-5,occasional,3bc80ff6-5450-4acf-87d2-6a2fd1918077,Why is preconception care important for women planning to get pregnant?,"Preconception care is very important because it helps women identify any health issues before they become pregnant. This care includes checking for risks, getting vaccinations, and making lifestyle changes like eating healthy and quitting smoking. By taking these steps, women can improve their chances of having a healthy pregnancy and baby. It's a good idea to start this care at least a few months before trying to conceive.",Response correctly identifies key assessments to be performed during pregnancy,Accuracy,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 19
R2,General Practitioner,1-5,occasional,3bc80ff6-5450-4acf-87d2-6a2fd1918077,Why is preconception care important for women planning to get pregnant?,"Preconception care is very important because it helps women identify any health issues before they become pregnant. This care includes checking for risks, getting vaccinations, and making lifestyle changes like eating healthy and quitting smoking. By taking these steps, women can improve their chances of having a healthy pregnancy and baby. It's a good idea to start this care at least a few months before trying to conceive.",Identify community resources available for maternal health support.,Completeness,fail,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 19
R2,General Practitioner,1-5,occasional,3bc80ff6-5450-4acf-87d2-6a2fd1918077,Why is preconception care important for women planning to get pregnant?,"Preconception care is very important because it helps women identify any health issues before they become pregnant. This care includes checking for risks, getting vaccinations, and making lifestyle changes like eating healthy and quitting smoking. By taking these steps, women can improve their chances of having a healthy pregnancy and baby. It's a good idea to start this care at least a few months before trying to conceive.",Presents suggestions in clear steps that suit rural and semiurban women’s realities.,Communication,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 19
R2,General Practitioner,1-5,occasional,3bc80ff6-5450-4acf-87d2-6a2fd1918077,Why is preconception care important for women planning to get pregnant?,"Preconception care is very important because it helps women identify any health issues before they become pregnant. This care includes checking for risks, getting vaccinations, and making lifestyle changes like eating healthy and quitting smoking. By taking these steps, women can improve their chances of having a healthy pregnancy and baby. It's a good idea to start this care at least a few months before trying to conceive.","Define medical abbreviations (ANC, BP, FHR) in plain language.",Terminology Accessibility,fail,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 19
R2,General Practitioner,1-5,occasional,3bc80ff6-5450-4acf-87d2-6a2fd1918077,Why is preconception care important for women planning to get pregnant?,"Preconception care is very important because it helps women identify any health issues before they become pregnant. This care includes checking for risks, getting vaccinations, and making lifestyle changes like eating healthy and quitting smoking. By taking these steps, women can improve their chances of having a healthy pregnancy and baby. It's a good idea to start this care at least a few months before trying to conceive.","Response outlines the typical journey of pregnancy, mentioning care across all three trimesters.",Completeness,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 19
R2,General Practitioner,1-5,occasional,3bc80ff6-5450-4acf-87d2-6a2fd1918077,Why is preconception care important for women planning to get pregnant?,"Preconception care is very important because it helps women identify any health issues before they become pregnant. This care includes checking for risks, getting vaccinations, and making lifestyle changes like eating healthy and quitting smoking. By taking these steps, women can improve their chances of having a healthy pregnancy and baby. It's a good idea to start this care at least a few months before trying to conceive.",Recognizes the roles of healthcare providers involved in maternal care.,Accuracy,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 19
R2,General Practitioner,1-5,occasional,3bc80ff6-5450-4acf-87d2-6a2fd1918077,Why is preconception care important for women planning to get pregnant?,"Preconception care is very important because it helps women identify any health issues before they become pregnant. This care includes checking for risks, getting vaccinations, and making lifestyle changes like eating healthy and quitting smoking. By taking these steps, women can improve their chances of having a healthy pregnancy and baby. It's a good idea to start this care at least a few months before trying to conceive.",Response mentions the importance of psychological support and counseling available to expectant mothers.,Completeness,fail,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 19
R2,General Practitioner,1-5,occasional,3bc80ff6-5450-4acf-87d2-6a2fd1918077,Why is preconception care important for women planning to get pregnant?,"Preconception care is very important because it helps women identify any health issues before they become pregnant. This care includes checking for risks, getting vaccinations, and making lifestyle changes like eating healthy and quitting smoking. By taking these steps, women can improve their chances of having a healthy pregnancy and baby. It's a good idea to start this care at least a few months before trying to conceive.",Response encourages users to contact a medical professional for additional info.,Communication,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 19
R2,General Practitioner,1-5,occasional,3bc80ff6-5450-4acf-87d2-6a2fd1918077,Why is preconception care important for women planning to get pregnant?,"Preconception care is very important because it helps women identify any health issues before they become pregnant. This care includes checking for risks, getting vaccinations, and making lifestyle changes like eating healthy and quitting smoking. By taking these steps, women can improve their chances of having a healthy pregnancy and baby. It's a good idea to start this care at least a few months before trying to conceive.",Avoid jargon or explain all complex terms at first use.,Terminology Accessibility,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 19
R2,General Practitioner,1-5,occasional,3bc80ff6-5450-4acf-87d2-6a2fd1918077,Why is preconception care important for women planning to get pregnant?,"Preconception care is very important because it helps women identify any health issues before they become pregnant. This care includes checking for risks, getting vaccinations, and making lifestyle changes like eating healthy and quitting smoking. By taking these steps, women can improve their chances of having a healthy pregnancy and baby. It's a good idea to start this care at least a few months before trying to conceive.",Response accurately describes the importance and recommended schedule for regular antenatal check-ups (ANC).,Accuracy,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 19
R2,General Practitioner,1-5,occasional,3bc80ff6-5450-4acf-87d2-6a2fd1918077,Why is preconception care important for women planning to get pregnant?,"Preconception care is very important because it helps women identify any health issues before they become pregnant. This care includes checking for risks, getting vaccinations, and making lifestyle changes like eating healthy and quitting smoking. By taking these steps, women can improve their chances of having a healthy pregnancy and baby. It's a good idea to start this care at least a few months before trying to conceive.","Uses everyday analogies, metaphors, or local references for clarity.",Communication,fail,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 19
R2,General Practitioner,1-5,occasional,3bc80ff6-5450-4acf-87d2-6a2fd1918077,Why is preconception care important for women planning to get pregnant?,"Preconception care is very important because it helps women identify any health issues before they become pregnant. This care includes checking for risks, getting vaccinations, and making lifestyle changes like eating healthy and quitting smoking. By taking these steps, women can improve their chances of having a healthy pregnancy and baby. It's a good idea to start this care at least a few months before trying to conceive.",Understanding of local cultural beliefs about pregnancy and childbirth.,Context Awareness,fail,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 19
R2,General Practitioner,1-5,occasional,3bc80ff6-5450-4acf-87d2-6a2fd1918077,Why is preconception care important for women planning to get pregnant?,"Preconception care is very important because it helps women identify any health issues before they become pregnant. This care includes checking for risks, getting vaccinations, and making lifestyle changes like eating healthy and quitting smoking. By taking these steps, women can improve their chances of having a healthy pregnancy and baby. It's a good idea to start this care at least a few months before trying to conceive.","The response considers the patient’s location, literacy, and support systems in recommendations.",Context Awareness,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 19
R2,General Practitioner,1-5,occasional,3bc80ff6-5450-4acf-87d2-6a2fd1918077,Why is preconception care important for women planning to get pregnant?,"Preconception care is very important because it helps women identify any health issues before they become pregnant. This care includes checking for risks, getting vaccinations, and making lifestyle changes like eating healthy and quitting smoking. By taking these steps, women can improve their chances of having a healthy pregnancy and baby. It's a good idea to start this care at least a few months before trying to conceive.","Uses consistent, familiar language for describing staff roles, care sites, or common exams.",Terminology Accessibility,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,national_antenatal_care_guideline.pdf | page 19
R2,General Practitioner,1-5,occasional,4e694703-dc3b-42c6-8693-5055be477f04,What are the signs that indicate a woman is going into labor?,"A woman may notice a bloody, sticky discharge from her vagina, known as the 'show.' Additionally, she will experience painful contractions that become stronger, longer, and closer together over time. If she notices these signs, it's important to go to a health facility or inform the ASHA for help. Recognizing these signs early can ensure timely care.","Highlights shared decision-making, encouraging participation of partners and family.",Context Awareness,fail,Antenatal & Maternal Health Care,Gynecology & Maternal Health,NHSRC_guidelines.pdf | page 41
R2,General Practitioner,1-5,occasional,4e694703-dc3b-42c6-8693-5055be477f04,What are the signs that indicate a woman is going into labor?,"A woman may notice a bloody, sticky discharge from her vagina, known as the 'show.' Additionally, she will experience painful contractions that become stronger, longer, and closer together over time. If she notices these signs, it's important to go to a health facility or inform the ASHA for help. Recognizing these signs early can ensure timely care.",Response correctly identifies key assessments to be performed during pregnancy,Accuracy,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,NHSRC_guidelines.pdf | page 41
R2,General Practitioner,1-5,occasional,4e694703-dc3b-42c6-8693-5055be477f04,What are the signs that indicate a woman is going into labor?,"A woman may notice a bloody, sticky discharge from her vagina, known as the 'show.' Additionally, she will experience painful contractions that become stronger, longer, and closer together over time. If she notices these signs, it's important to go to a health facility or inform the ASHA for help. Recognizing these signs early can ensure timely care.",Identify community resources available for maternal health support.,Completeness,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,NHSRC_guidelines.pdf | page 41
R2,General Practitioner,1-5,occasional,4e694703-dc3b-42c6-8693-5055be477f04,What are the signs that indicate a woman is going into labor?,"A woman may notice a bloody, sticky discharge from her vagina, known as the 'show.' Additionally, she will experience painful contractions that become stronger, longer, and closer together over time. If she notices these signs, it's important to go to a health facility or inform the ASHA for help. Recognizing these signs early can ensure timely care.",Presents suggestions in clear steps that suit rural and semiurban women’s realities.,Communication,fail,Antenatal & Maternal Health Care,Gynecology & Maternal Health,NHSRC_guidelines.pdf | page 41
R2,General Practitioner,1-5,occasional,4e694703-dc3b-42c6-8693-5055be477f04,What are the signs that indicate a woman is going into labor?,"A woman may notice a bloody, sticky discharge from her vagina, known as the 'show.' Additionally, she will experience painful contractions that become stronger, longer, and closer together over time. If she notices these signs, it's important to go to a health facility or inform the ASHA for help. Recognizing these signs early can ensure timely care.","Define medical abbreviations (ANC, BP, FHR) in plain language.",Terminology Accessibility,fail,Antenatal & Maternal Health Care,Gynecology & Maternal Health,NHSRC_guidelines.pdf | page 41
R2,General Practitioner,1-5,occasional,4e694703-dc3b-42c6-8693-5055be477f04,What are the signs that indicate a woman is going into labor?,"A woman may notice a bloody, sticky discharge from her vagina, known as the 'show.' Additionally, she will experience painful contractions that become stronger, longer, and closer together over time. If she notices these signs, it's important to go to a health facility or inform the ASHA for help. Recognizing these signs early can ensure timely care.","Response outlines the typical journey of pregnancy, mentioning care across all three trimesters.",Completeness,fail,Antenatal & Maternal Health Care,Gynecology & Maternal Health,NHSRC_guidelines.pdf | page 41
R2,General Practitioner,1-5,occasional,4e694703-dc3b-42c6-8693-5055be477f04,What are the signs that indicate a woman is going into labor?,"A woman may notice a bloody, sticky discharge from her vagina, known as the 'show.' Additionally, she will experience painful contractions that become stronger, longer, and closer together over time. If she notices these signs, it's important to go to a health facility or inform the ASHA for help. Recognizing these signs early can ensure timely care.",Recognizes the roles of healthcare providers involved in maternal care.,Accuracy,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,NHSRC_guidelines.pdf | page 41
R2,General Practitioner,1-5,occasional,4e694703-dc3b-42c6-8693-5055be477f04,What are the signs that indicate a woman is going into labor?,"A woman may notice a bloody, sticky discharge from her vagina, known as the 'show.' Additionally, she will experience painful contractions that become stronger, longer, and closer together over time. If she notices these signs, it's important to go to a health facility or inform the ASHA for help. Recognizing these signs early can ensure timely care.",Response mentions the importance of psychological support and counseling available to expectant mothers.,Completeness,fail,Antenatal & Maternal Health Care,Gynecology & Maternal Health,NHSRC_guidelines.pdf | page 41
R2,General Practitioner,1-5,occasional,4e694703-dc3b-42c6-8693-5055be477f04,What are the signs that indicate a woman is going into labor?,"A woman may notice a bloody, sticky discharge from her vagina, known as the 'show.' Additionally, she will experience painful contractions that become stronger, longer, and closer together over time. If she notices these signs, it's important to go to a health facility or inform the ASHA for help. Recognizing these signs early can ensure timely care.",Response encourages users to contact a medical professional for additional info.,Communication,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,NHSRC_guidelines.pdf | page 41
R2,General Practitioner,1-5,occasional,4e694703-dc3b-42c6-8693-5055be477f04,What are the signs that indicate a woman is going into labor?,"A woman may notice a bloody, sticky discharge from her vagina, known as the 'show.' Additionally, she will experience painful contractions that become stronger, longer, and closer together over time. If she notices these signs, it's important to go to a health facility or inform the ASHA for help. Recognizing these signs early can ensure timely care.",Avoid jargon or explain all complex terms at first use.,Terminology Accessibility,pass,Antenatal & Maternal Health Care,Gynecology & Maternal Health,NHSRC_guidelines.pdf | page 41
